state_code,precinct,n_elections,years_available,pri_mean,pri_sd,pan_mean,pan_sd,prd_mean,prd_sd,turnout_mean,turnout_sd,margin_mean,margin_sd,max_registered,n_distinct_incumbents,state,mun,mun_code,year_pre2015,incumbent_party_pre2015,runnerup_party_pre2015,incumbent_party_vote_pre2015,runnerup_party_vote_pre2015,share_incumbent_party_valid_vote_pre2015,share_runnerup_party_valid_vote_pre2015,mun_winning_margin_pre2015,PRI_vote_pre2015,share_PRI_valid_vote_pre2015,PAN_vote_pre2015,share_PAN_valid_vote_pre2015,PRD_vote_pre2015,share_PRD_valid_vote_pre2015,MORENA_vote_pre2015,share_MORENA_valid_vote_pre2015,valid_pre2015,total_pre2015,registered_voters_pre2015,turnout_pre2015,year_post2015,share_PRI_valid_vote_post2015,share_PAN_valid_vote_post2015,share_PRD_valid_vote_post2015,turnout_post2015
1.0,46.0,4,2007;2010;2013;2016,0.419447970362493,0.3596357507651973,0.6045710249297752,0.2424891678895863,0.1766980111022053,0.30109687266966,0.558791460712938,0.083648059006447,0.07883234315,0.0915669830562136,1939.0,2,AGUASCALIENTES,AGUASCALIENTES,1001.0,2013.0,PRI,PAN,209.0,612.0,0.2143589743589743,0.6276923076923077,0.2144096732,209.0,0.2143589743589743,612.0,0.6276923076923077,612.0,0.6276923076923077,,,975.0,1016.0,1938.0,0.5242518059855521,2016.0,0.2571669477234401,0.4038785834738617,0.0261382799325463,0.6245487364620939
1.0,81.0,3,2007;2010;2013,0.6797214560393917,0.56835690160196,0.497271644423138,0.2512734768819004,0.1619642098090548,0.2081573024609044,0.3392044390957383,0.0628235625353268,0.0872404095333333,0.1102388093966282,13640.0,2,AGUASCALIENTES,AGUASCALIENTES,1001.0,2013.0,PRI,PAN,1630.0,1681.0,0.3900454654223498,0.4022493419478344,0.2144096732,1630.0,0.3900454654223498,1681.0,0.4022493419478344,1681.0,0.4022493419478344,,,4179.0,4325.0,13640.0,0.3170821114369501,,,,,
2.0,94.0,4,2007;2010;2013;2016,0.4101093144893498,0.169762670631283,0.3688582526679552,0.1357542006522199,0.1232672300456014,0.1687837478097951,0.4216072294331182,0.0188144171645756,0.10596424935,0.1050533579590899,1412.0,3,BAJA CALIFORNIA,ENSENADA,2001.0,2013.0,PRI_PVEM,PAN_PANAL_PES,335.0,,0.5611390284757118,,0.1581029777,335.0,0.5611390284757118,220.0,0.3685092127303183,220.0,0.3685092127303183,,,597.0,616.0,1379.0,0.4467005076142132,2016.0,0.1714801444043321,0.223826714801444,0.0072202166064981,0.4072237960339943
2.0,100.0,4,2007;2010;2013;2016,0.4613819785749167,0.1489366555281416,0.3172149108320545,0.1363766422982111,0.1182745376878597,0.1371857015349923,0.4357531546403764,0.0366747139572123,0.10596424935,0.1050533579590899,1767.0,3,BAJA CALIFORNIA,ENSENADA,2001.0,2013.0,PRI_PVEM,PAN_PANAL_PES,471.0,,0.6305220883534136,,0.1581029777,471.0,0.6305220883534136,233.0,0.3119143239625167,233.0,0.3119143239625167,,,747.0,779.0,1632.0,0.477328431372549,2016.0,0.2769230769230769,0.188034188034188,0.0153846153846153,0.396
2.0,705.0,4,2007;2010;2013;2016,0.477275507880878,0.1380369290590927,0.389143022809996,0.0944651359362541,0.1345811104877641,0.2164806012388444,0.4095638749570974,0.0301069203284654,0.103886126875,0.1141104135068887,1683.0,2,BAJA CALIFORNIA,TECATE,2003.0,2013.0,PRI_PVEM,PAN_PANAL_PES,332.0,,0.503030303030303,,0.2713980902,332.0,0.503030303030303,303.0,0.4590909090909091,303.0,0.4590909090909091,,,660.0,684.0,1575.0,0.4342857142857143,2016.0,0.3008695652173913,0.3165217391304348,0.0295652173913043,0.3752380952380952
2.0,713.0,4,2007;2010;2013;2016,0.4333669489020684,0.119696722878656,0.4357162599248074,0.1076595876648684,0.1436212976399385,0.2497007196190383,0.393217079265124,0.0329519280915527,0.103886126875,0.1141104135068887,1415.0,2,BAJA CALIFORNIA,TECATE,2003.0,2013.0,PRI_PVEM,PAN_PANAL_PES,243.0,,0.4370503597122302,,0.2713980902,243.0,0.4370503597122302,288.0,0.5179856115107914,288.0,0.5179856115107914,,,556.0,569.0,1336.0,0.4258982035928144,2016.0,0.2978260869565217,0.3456521739130435,0.008695652173913,0.3636363636363637
2.0,1021.0,4,2007;2010;2013;2016,0.3861552230929393,0.1528964171803712,0.4310173505848246,0.1550658298754298,0.1118115563790304,0.2023877006336118,0.4454071911031927,0.0638204285364131,0.03637752405,0.025868170617916,705.0,2,BAJA CALIFORNIA,TIJUANA,2004.0,2013.0,PRI_PVEM,PAN_PANAL_PES,156.0,,0.5397923875432526,,0.0495421666,156.0,0.5397923875432526,120.0,0.4152249134948096,120.0,0.4152249134948096,,,289.0,302.0,605.0,0.4991735537190083,2016.0,0.1861471861471861,0.2251082251082251,0.0043290043290043,0.3920922570016474
2.0,1037.0,4,2007;2010;2013;2016,0.4292956454334667,0.1395557874153569,0.3972764314629338,0.1315082728535948,0.1140324245230856,0.1997363011977598,0.3454842893364636,0.0523914310437351,0.03637752405,0.025868170617916,1248.0,2,BAJA CALIFORNIA,TIJUANA,2004.0,2013.0,PRI_PVEM,PAN_PANAL_PES,216.0,,0.5413533834586466,,0.0495421666,216.0,0.5413533834586466,165.0,0.4135338345864661,165.0,0.4135338345864661,,,399.0,402.0,1150.0,0.3495652173913043,2016.0,0.226865671641791,0.2119402985074626,0.0208955223880597,0.3106796116504854
2.0,1343.0,4,2007;2010;2013;2016,0.4398303752704992,0.143244847464727,0.3712802536022302,0.1257880776468486,0.1183774619190241,0.1925373889100834,0.4094146581613368,0.047818899846605,0.03637752405,0.025868170617916,1228.0,2,BAJA CALIFORNIA,TIJUANA,2004.0,2013.0,PRI_PVEM,PAN_PANAL_PES,279.0,,0.5355086372360844,,0.0495421666,279.0,0.5355086372360844,212.0,0.4069097888675624,212.0,0.4069097888675624,,,521.0,525.0,1199.0,0.4378648874061718,2016.0,0.2287917737789203,0.1953727506426735,0.0128534704370179,0.3620996441281139
2.0,1585.0,2,2013;2016,0.4568588749471309,0.1631938250109091,0.2732271253348372,0.1449504102418215,0.1970076131397152,0.2527410781056245,0.3068986795014192,0.0271917157864652,0.0579354131999999,0.0118698431740618,584.0,1,BAJA CALIFORNIA,TIJUANA,2004.0,2013.0,PRI_PVEM,PAN_PANAL_PES,99.0,,0.5722543352601156,,0.0495421666,99.0,0.5722543352601156,65.0,0.3757225433526011,65.0,0.3757225433526011,,,173.0,181.0,555.0,0.3261261261261261,2016.0,0.3414634146341463,0.1707317073170731,0.0182926829268292,0.2876712328767123
